possibilidade_de_retirada_de_consentimento;u_unidade_tempo;outra_fonte_origem_dos_dados_pessoais;temporalidade;finalidade;declaracaociencia;compartilhamento_com_terceiros_operadores;number;meio_automatizado;lgpd_area;quais_areas_internas_da_organizacao;tipos_de_terceiros;finalidade_compartilhamento_interno;u_instrumentos_juridicos_sugeridos;medidas_seguranca;descricao_retirada_consentimento;os_dados_tratados_sao_limitados_aos_fins_espec_ficos_que_justificam_sua_coleta;tipo_dado_pessoal;fonte_origem_dos_dados_pessoais;outras_finalidades_areas_internas;lgpd_processo;nome_dos_terceiros;qual_o_canal_de_comunicacao;categoria_dados;assinale_abaixo_as_pol_ticas_j_utilizadas_na_sua_rea_processo;partes_que_acessam_usam_os_dados;outro_tipo_dado_pessoal;outras_medidas_seguranca;canal_de_comunicacao_questionario;base_legal_lgpd;outras_categoria_dados;outros_metodo_de_transferencia_para_destinos;descricao_do_processo;u_direitos_titular;finalidade_outro;u_conformidade;localizacao;lgpd_diretoria;paises_utilizando_o_processo;nome_do_questionario;lgpd_sistema;solicitacao_de_consentimento_quanto_a_coleta;areas_internas_com_acesso_aos_dados;metodo_de_transferencia_para_destinos;ha_transferencia_internacional_de_dados_pessoais;dado_pessoal_sensivel;titulares_de_dados_volume;localizacao_outro;outros_sistemas
;Backup ou Cópia de Segurança;Brasil;;;;;SISTEMA DE PONTO;Verdadeiro;SISTEMA DE PONTO;Acompanhamento do RH;;;;;Não;Não;Matricula no RH;Registro do Colaborador no RH;Não;Acompanhar a os Horários e frequência dos Colaboradores;Não;;;Indeterminado;Não sei;;Não;;;Nome, Outros tipos de dados pessoais;;Alterdata;Falso;Não;;;Laboratório Cuidar Bem;de  0 a 1.000;PRESIDENTE;;Não;;;;Outras fontes de Dados;Computador;Acompanhamento do RH;Dados de colaboradores
;Backup ou Cópia de Segurança;Brasil;;Salvar os Resultados;;;ENTREGA DE RESULTADO DOS EXAMES REALIZADOS;Verdadeiro;ENTREGA DE RESULTADO;Outras Finalidades;;Não Há;;;Não;Não;;;Não;Nesse processo disponibilizamos a todos os clientes seus resultado. Paciente realiza o exames, damos o prazo estabelecido, de cada exames, e após o prazo máximo os resultados são entregues a próprio paciente e/ou ao portador munido do documento de identificação do titular que realizou o exame.;Não;Acesso aos Dados;;Indeterminado;Procedimento operacional Padrão;;Sim;Email e Portal de Resultados;;CPF, E-mail, Nome, RG;;Acesso A Site, DB, Portal Unimed, MV SOUL;Falso;Não;;;Laboratório Cuidar Bem;de 1.000  a- 10.000;PRESIDENTE;;Não;;;;Documentos de Clientes, que não sejam contratos;Computador;Outras Finalidades;Dados de Clientes
;Não há;Brasil;;;;Integração de Aplicações, Transferência de Arquivos;Processos cíveis;Verdadeiro;Acesso a dados de usuários, ex-usuários e seus representantes legais ou processuais, disponíveis em meio físico ou sistema eletrônico na empresa ou ainda recebidos de prestadores de serviço credenciados ou médicos cooperados, para a elaboração das contest;Análise e Pesquisa, Assistência Jurídica, Atividades Jurídicas, Documentação do Cliente, Exercício Regular de Direitos em Processos Judiciais, Administrativos e Arbitrais;PROJURIS E DROPBOX;;;;Sim;Não;;Sistemas dos tribunais;Sim;Colhemos informações das mais variadas possíveis sobre os usuários, através dos documentos juntados no processo ou compartilhados pelos setores. Além disso, utilizamos o Unicoo para acesso a dados contratuais. Não efetuamos modificações nos dados, apenas consultas. Em raros casos, temos acesso aos dados de prestadores que tenham envolvimento nos processos.;Não;;;Indeterminado;Não há.;Dado referente à Saúde/Dados Médicos;Não;;;Celular, Data de aniversário/nascimento, E-mail, CPF, Nome, RG, Telefone ;"Outras Organizações Externas (especificar quais no campo ""Nome dos Terceiros"")";Acesso A Site, UNICOO, E-Mail, Excel;Falso;Não;;;Juridico Civil;de  0 a 1.000;PRESIDENTE;;Não sei;Financeiro, Cadastro, Atendimento, CRC, OPME, Home Care, Call Center.;;;Documentos de Clientes, que não sejam contratos, E-mail, Sistemas MV ou UNICOO, Fontes Públicas (descrever quais no campo “outras fontes de dados”), Outras fontes de Dados;Computador, Nuvem, Pastas de Rede Compartilhada, Pastas e Documentos na Nuvem, Pastas e Documentos no E-mail, Planilhas, E-mail, Sistemas/ Aplicativos de Terceiros;Assistência Jurídica, Atividades Jurídicas, Exercício Regular de Direitos em Processos Judiciais, Administrativos e Arbitrais;Dados de Clientes, Dados de crianças, Dados de prestadores de serviços - pessoa física
;Controle de Acesso;brasil;Anos;;;Transferência de Arquivos;Seg informação;Verdadeiro;Backup gravações;Assistência Jurídica;foruns;;;;Sim;Não;;;Sim;Processo responsável pela copia das gravações no dropbox;Não;;;1;LEI Nº 8.078, DE 11 DE SETEMBRO DE 1990.;Dado referente à Saúde/Dados Médicos;Não;;;CPF, Celular, Dados de cartão crédito/débito, Dados bancários, E-mail, Informações de filhos, Data de aniversário/nascimento, RG, Detalhes de férias, Nome, Telefone ;"Demais Órgãos Públicos (especificar quais no campo ""Nome dos Terceiros"")";Acesso A Site, Dropbox, E-Mail;Falso;Não;;servidor;Segurança da Informação;de 10.000 a 100.000;PRESIDENTE;;Não;callcenter juridico;inserção nos programas juridicos;;Ligação;Pastas e Documentos na Nuvem, Computador, Sistemas/ Aplicativos de Terceiros, Outras Localizações;Ações por Canal Telefônico, Gerenciamento do relacionamento com o cliente;Dados de Clientes, Dados de colaboradores, Dados de candidatos, Dados de cooperados, Dados de prestadores de serviços - pessoa física, Dados de crianças
;Controle de Acesso;BRASIL;;;;;ANALISE DE CARENCIAS/PORTABILIDADE;Verdadeiro;ANALISE DE COMPRA DE CARÊNCIAS DE OUTRAS OPERADORAS DE PLANOS DE SAÚDE. PORTABILIDADE CARÊNCIAS.;Análise e Pesquisa, Atividades Administrativas, Documentação do Cliente;;;;;Sim;Não sei;ENDEREÇO;;Não;ANALISE DE COMPRA DE CARENCIA DE CLIENTES ORIUNDOS DE OUTRAS OPERADORAS OU PARA PORTABILIDADE DE CARENCIAS ENVOLVE COLETA DE DADOS PESSOAIS E PARA APRECIAÇÃO DE POSSIVEL APROVEITAMENTO DAS CARENCIAS OU AVALIAÇÃO DE DOCUMETAÇÃP PARA VER SE ATENDE AOS CRITERIOS DA PORTABILIDADE;Não;;;Indeterminado;;Dado referente à Saúde/Dados Médicos;Não;;;CPF, Data de aniversário/nascimento, E-mail, Celular, Informações da família, Informações de filhos, Nome, RG, Telefone , Outros tipos de dados pessoais;;E-Mail, Acesso A Site, Fisico, Internet, Presencial;Falso;Não;;;Vendas;de  0 a 1.000;FINANCEIRA;;Não sei;NO CASO DA REDUÇÃO DAS CARENCIAS OU DO ACEITE DA PORTABILIDADE, O SETOR DE CADASTRO TERÁ ACESSO AOS DADOS;;;Documentos de Clientes, que não sejam contratos, Via física;E-mail, Planilhas;Análise e Pesquisa, Documentação do Cliente, Estratégias Comerciais;Dados de Clientes
;Controle de Acesso;BRASIL;;;;;DADOS PARA PREENCHIMENTO DE PROPOSTA DE ADMISSÃO BENEFICIÁRIO PLANO EMPRESARIAL ATE 99 VIDAS;Verdadeiro;COLETA DE DADOS PESSOAIS PARA PREENCHIMENTO DA PROPOSTA DE ADMISSÃO DO BENEFICIÁRIO DE CONTRATOS COLETIVOS EMPRESARIAIS ATÉ 99 VIDAS, COM POSTERIOR REGISTRO , CONTROLE E ENVIO PARA SETOR INTERNO DA EMPRESA.;Análise e Pesquisa, Ativação de Clientes, Atividades Administrativas, Documentação do Cliente;;;;;Sim;Não;ENDEREÇO;DECLARAÇÃO DE SAUDE;Não;SÃO COLETADOS OS DADOS PESSOAIS DOS COLABORADORES (E SEUS DEPENDENTES) DA EMPRESA QUE ESTÁ CONTRATANDO O PLANO DE SAUDE PARA FINS DE COMPROVAÇÃO DE VINCULO DE TRABALHO POSTERIOR CADASTRO EM SISTEMA;Não;;;Indeterminado;;Dado referente à Saúde/Dados Médicos;Não;;;CPF, Data de aniversário/nascimento, E-mail, Informações de filhos, RG, Telefone , Nome, Celular, Outros tipos de dados pessoais;;E-Mail, Fisico, Office Excel, Portal Unimed;Falso;Não;;;Vendas;de  0 a 1.000;FINANCEIRA;;Não;SETOR DE CADASTRO;;;Outras fontes de Dados;E-mail, Planilhas;Atividades Administrativas, Ativação de Clientes;Dados de Clientes, Dados de crianças
;Controle de Acesso;BRASIL;;;;;DADOS PARA PREENCHIMENTO DE PROPOSTA DE ADMISSÃO BENEFICIÁRIO PLANO EMPRESARIAL ATE 99 VIDAS;Verdadeiro;COLETA DE DADOS PESSOAIS PARA PREENCHIMENTO DA PROPOSTA DE ADMISSÃO DO BENEFICIÁRIO DE CONTRATOS COLETIVOS EMPRESARIAIS ATÉ 99 VIDAS, COM POSTERIOR REGISTRO , CONTROLE E ENVIO PARA SETOR INTERNO DA EMPRESA.;Análise e Pesquisa, Ativação de Clientes, Atividades Administrativas, Documentação do Cliente;;;;;Sim;Não;ENDEREÇO;DECLARAÇÃO DE SAUDE;Não;SÃO COLETADOS OS DADOS PESSOAIS DOS COLABORADORES (E SEUS DEPENDENTES) DA EMPRESA QUE ESTÁ CONTRATANDO O PLANO DE SAUDE PARA FINS DE COMPROVAÇÃO DE VINCULO DE TRABALHO POSTERIOR CADASTRO EM SISTEMA;Não;;;Indeterminado;;Dado referente à Saúde/Dados Médicos;Não;;;CPF, Data de aniversário/nascimento, E-mail, Informações de filhos, RG, Telefone , Nome, Celular, Outros tipos de dados pessoais;;E-Mail, Fisico, Office Excel, Portal Unimed;Falso;Não;;;Vendas;de  0 a 1.000;FINANCEIRA;;Não;SETOR DE CADASTRO;;;Outras fontes de Dados;E-mail, Planilhas;Atividades Administrativas, Ativação de Clientes;Dados de Clientes, Dados de crianças
;Controle de Acesso;BRASIL;;;;Documentos Físicos;DOCUMENTAÇÃO PARA ARQUIVO MORTO - PROCESSO OPME FLORES;Verdadeiro;ENVIO DE DOCUMENTACAO PARA AQRUIVO MORTO (PROCESSO OPME FLORES);Atividades Administrativas;CONTRATANTE PARA AVALIAÇÃO COM MEDICO DO TRABALHO E POSTERIOR PAGAMENTO EM CUSTO OPERACIONAL DO OPME UTILIZADO;;;;Sim;Não;;;Sim;CONTRATO COM A EMPRESA DE TRANSPORTES FLORES COM TERMO ADITIVO PARA COBRANÇA DE MATERIAL DE OPME COM A FINALIDADE DE REDUÇÃO NA DESPESA BAIXANDO O INDICE DE SINISTRALIDADE. ENVIO DOCUMENTAÇÃO PARA EMPRESA RESPONSAVEL PELO ARQUIVAMENTO DE DOCUMENTOS DA UNIMED NOVA IGUACU.;Não;;;Indeterminado;;Dado referente à Saúde/Dados Médicos;Não;;;Nome, Data de aniversário/nascimento;"Empresas Privadas (especificar quais no campo ""Nome dos Terceiros"")";E-Mail, Fisico, UNICOO, Excel;Falso;Não;;;Vendas;de  0 a 1.000;FINANCEIRA;;Não sei;SETORES DE OPME E AUTORIZAÇÕES;;;E-mail, Sistemas MV ou UNICOO;E-mail, Computador;Análise e Pesquisa, Atividades Administrativas, Gerenciamento do relacionamento com o cliente;Dados de Clientes
;Anonimização, Controle de Acesso;BRASIL;;ANALISE PARA DEFESA JURIDIDA, REGULATORIA E RECLAMAÇÃO DE SEGUNDA INSTANCIA;;;DOCUMENTAÇÃO PARA ARQUIVO MORTO – CONTRATOS CANCELADOS;Verdadeiro;ENVIO DE DOCUMENTACAO PARA ARUIVO MORTO (CONTRATOS CANCELADOS);Análise e Pesquisa, Assistência Jurídica, Atividades Administrativas;;;;;Sim;Não;;;Não;ARQUIVO DE CONTRATOS EMPRESARIAIS CANCELADOS, CONTENDO DOCUMENTOS DA EMPRESA E DO SOCIO RESPONSAVEL PELO CONTRATO. ENVIO DOCUMENTAÇÃO PARA EMPRESA RESPONSAVEL PELO ARQUIVAMENTO DE DOCUMENTOS DA UNIMED NOVA IGUACU.;Não;;SOCIO DA EMPRESA CONTRATANTE RESPOSNSAVEL PELO CONTRATO DE ASSISTENCIA MEDICA;Indeterminado;;;Não;;;CPF, Celular, Data de aniversário/nascimento, E-mail, Nome, Telefone , RG;;Fisico;Falso;Sim;;;Vendas;de  0 a 1.000;FINANCEIRA;;Não sei;JURIDICO, REGULAÇÃO E GERENCIAS;;;Documentos de Clientes, que não sejam contratos, Contrato, Via física;Pastas de Rede Compartilhada;Análise e Pesquisa, Assistência Jurídica, Atividades Administrativas, Atividades Jurídicas, Cumprimento de Obrigação Legal ou Regulatória, Exercício Regular de Direitos em Processos Judiciais, Administrativos e Arbitrais;Outras categorias
;Controle de Acesso;BRASIL;;;;;DOCUMENTOS PARA ENTRADA EM REEMBOLSO;Verdadeiro;ENVIO DE DOCUMENTOS PARA ENTRADA EM REEMBOLSO DE ANESTESISTA;Atividades Administrativas, Documentação do Cliente, Análise e Pesquisa;;;;;Sim;Não;;;Não;EM ALGUMAS SITUAÇÕES ESPECÍFICAS, AUXILIAMOS NA ENTRADA NO PROCESSO DE REEMBOLSO FAZENDO A INTERMEDIAÇÃO DO PROCESSO ENTRE A EMPRESA CONTRATANTE E O SETOR DE REEMBOLSO;Não;;;Indeterminado;;Dado referente à Saúde/Dados Médicos;Não;;;Celular, CPF, Dados bancários, Data de aniversário/nascimento, E-mail, Informações de filhos, Nome, Telefone , RG;;E-Mail, Fisico;Falso;Não;;;Vendas;de  0 a 1.000;FINANCEIRA;;Não;SETOR DE REEMBOLSO E SETOR FINANCEIRO;;;Documentos de Clientes, que não sejam contratos, E-mail, Via física;E-mail;Atividades Administrativas;Dados de Clientes, Dados de crianças
;Controle de Acesso;BRASIL;;;;;FORMALIZAÇÃO CANCELAMENTO DE CONTRATO PJ;Verdadeiro;FORMALIZAÇÃO DE CANCELAMENTO DE CONTRATO;Análise e Pesquisa, Atividades Administrativas, Gerenciamento do relacionamento com o cliente;;;;;Sim;Não;;;Não;QUANDO SOLICITADO PELA EMPRESA CONTRATANTE, É ORIENTADO O ENVIO DE UM OFICIO FORMALIZANDO O PEDIDO DE CANECALAMENTO CONTENDO DADOS PESSOAIS DO RESPONSAVEL CONTRATUAL E COPIA DO DOCUMENTO DE IDENTIFICAÇÃO PARA COMPROVAÇÃO DA PESSOA SOLICITANTE E COMPARAÇÃO E ASSINATURA NO CONTRATO DA EMPRESA;Não;;;Indeterminado;;;Não;;;CPF, RG, Celular, Telefone , E-mail, Nome;;E-Mail, Fisico;Falso;Não;;;Vendas;de  0 a 1.000;FINANCEIRA;;Não sei;SETORES DE CADASTRO, FINANCEIRO E EM ALGUMAS SITUAÇÕES ATENDIMENTO;;;Contrato, E-mail, Documentos de Clientes, que não sejam contratos, Via física;E-mail;Análise e Pesquisa, Atividades Administrativas, Gerenciamento do relacionamento com o cliente;Dados de Clientes
;Controle de Acesso, Gestão de Senhas;Brasil;;Solicitar o reembolso do PARJ à Federação.;;;PARJ;Verdadeiro;PARJ (ENVIO DE DOCUMENTAÇÃO PARA FEDERAÇÃO RIO PARA REEMBOLSO AOS BENEFICIÁRIOS COBERTOS PELO BENEFÍCIO).;Atividades Administrativas;;;;;Sim;Não;;;Não;Geramos o relatório do PARJ contendo os dados das contas dos beneficiários PARJ no MV para enviar à Federação. filtramos o relatório, pois algumas guias necessitam de outra comprovação além do relatório, como Guias, Relatórios de Auditoria Médica, Guias de Reembolso e etc. caso necessário, solicitamos documentação via e-mail para outros núcleos/setores responsáveis pelos dados. Após toda documentação recolhida, anexamos a pasta com os documentos no Cloud da federação para recorrer o valor.;Não;;;Indeterminado;A planilha com o Controle do PARJ, onde contem nomes, valores, guias e etc, contém senha. E apenas colaboradores que realizam o processo tem acesso aos documentos do PARJ.;Dado referente à Saúde/Dados Médicos;Não;;;Nome, Geolocalização histórica;;MV SOUL, UNICOO, Word, Pdf Creator, Planilha De Excel  , E-Mail;Falso;Sim;;;Custos Assistenciais;de  0 a 1.000;VICE-PRESIDENTE;;Não;Diretoria, através de relatórios e pesquisas sobre o processo.;;;Sistemas MV ou UNICOO, E-mail;E-mail, Planilhas, Computador, Nuvem;Outras Finalidades;Dados de Clientes, Dados de crianças, Dados de prestadores de serviços - pessoa física, Dados de cooperados
